order_id,customer_state,delivery_time,review_score
e481f51cbdc54678b7cc49136f2d6af7,SP,8,4
ad21c59c0840e6cb83a9ceb5573f8159,SP,2,5
6514b8ad8028c9f2cc2374ded245783f,RJ,9,5
e69bfb5eb88e0ed6a785585b27e16dbf,SP,18,5
e6ce16cb79ec1d90b1da9085a6118aeb,RJ,12,1
34513ce0c4fab462a55830c0989c7edb,SP,5,4
5ff96c15d0b717ac6ad1f3d77225a350,SP,4,5
432aaf21d85167c2c86ec9448c4e42cc,SP,11,4
85ce859fd6dc634de8d2f1e290444043,SP,6,5
203096f03d82e0dffbc41ebc2e2bcfb7,SP,21,2
f848643eec1d69395095eb3840d2051e,SP,4,5
2807d0e504d6d4894d41672727bc139f,SP,4,3
f3e7c359154d965827355f39d6b1fdac,SP,4,5
fbf9ac61453ac646ce8ad9783d7d0af6,RJ,28,2
dd78f560c270f1909639c11b925620ea,SP,9,5
91b2a010e1e45e6ba3d133fa997597be,SP,14,4
f70a0aff17df5a6cdd9a7196128bd354,SP,8,2
989225ba6d0ebd5873335f7e01de2ae7,SP,22,4
d887b52c6516beb39e8cd44a5f8b60f7,RJ,18,5
b276e4f8c0fb86bd82fce576f21713e0,SP,1,5
5acce57f8d9dfd55fa48e212a641a69d,SP,7,5
7206b86ea789983f7a273ea7fa0bc2a8,SP,10,3
1e7aff52cdbb2451ace09d0f848c3699,RJ,11,5
6ea2f835b4556291ffdc53fa0b3b95e8,SP,33,1
6ebaec694d7025e2ad4a05dba887c032,RJ,10,1
25f4376934e13d3508486352e11a5db0,SP,3,5
2ce1ad82022c1ba30c2079502ac725aa,SP,6,5
138849fd84dff2fb4ca70a0a34c4aa1c,SP,12,5
641fb0752bf5b5940c376b3a8bb9dc52,RJ,19,4
e425680f760cbc130be3e53a9773c584,SP,4,5
40c5e18f7d112b59b3e5113a59a905b3,RJ,7,5
734e7d1bbaeb2ff82521ca0fe6fb6f79,SP,3,5
a685d016c8a26f71a0bb67821070e398,SP,23,1
2edfd6d1f0b4cd0db4bf37b1b224d855,SP,5,5
68873cf91053cd11e6b49a766db5af1a,SP,4,4
8f06cc6465925031568537b815f1198d,RJ,7,5
68e48e68da1f50f7c5838ea75e3a20dd,SP,4,5
b52cc4919de82b4d696a4380d10804a3,SP,5,5
